index,event_id,Final_Goal_Test
0,0, in 
2,1, unveiled on 
4,2, in 
6,3, conciding with 
8,4, replacing 
10,5, has been 
12,6, attack 
14,7, assassinated by 
16,8, takeover 
18,9, excutes 
20,10, claims responsibilty for 
22,11, heard at 
24,12, warns 
26,13,place
27,13,in
29,14, designates 
31,15, preparing for 
33,16, off 
35,17, killed in 
37,18, bombed in 
39,19, releases 
41,20, attacked 
43,21, defending 
45,22, suspended for 
47,23, based in 
49,24, killed from 
51,25, on 
53,26, announces 
55,27, begin 
57,28, defeated 
59,29,named
60,29,of
62,30,confirms
63,30,of
65,31, replacing 
67,32, receives 
69,33, with 
71,34, break out in 
73,35, killed by 
75,36, continue to besiege 
77,37, threatens to destroy 
79,38, resulting in 
81,39, likely to produce 
83,40, will not  interfere with 
85,41, reorganized into 
87,42, expelled from 
89,43, signed by 
91,44, suspend 
93,45, continues 
95,46, dismantled 
97,47, becomes 
99,48, unsuccessfully applied for 
101,49, cease 
103,50, seals off 
105,51, charged with 
107,52, elected to Hall of Fame by 
109,53, killed after 
111,54, open 
113,55, never ratified by 
115,56, dead 
117,57, announces 
119,58, suspended on 
121,59, struck 
123,60, resume 
125,61, bans 
127,62, found in 
129,63, inverstigating 
131,64, injured in 
133,65, shoots 
135,66, in 
137,67, relieved his duties
138,68, recaptures escaped 
140,69, charged with 
142,70, shot dead by 
144,71, shelled by 
146,72, imprisoned by 
148,73, evaculate in under 
150,74, in 
152,75, arrested in 
154,76, dies in 
156,77, kill 
158,78, located in 
160,79, recaptured 
162,80, wins 
164,81, dies from 
166,82, approaches 
168,83, plunges into 
170,84, near 
172,85, makes 
174,86, made by 
176,87, charged with 
178,88, published by 
180,89, plans to secede from 
182,90, appeal 
184,91, killed in 
186,92, destroys 
188,93, collapsing 
190,94, warn 
192,95, resigns after receiving 
194,96, wins 
196,97, banned from playing in 
198,98, to win 
200,99, arrested in 
202,100, backed by 
204,101, kill 
206,102, discovered in 
208,103, in United Kingdom go on 
210,104, becomes 
212,105, in 
214,106, near 
216,107, for 
218,108, removed 
220,109, allegedly entered 
222,110, on 
224,111, jailed for 
226,112, appears in 
229,113,and
230,113,unsupported by
232,114, approved for 
234,115, explodes near 
236,116, fire 
238,117, attack 
240,118, as 
242,119, registered with 
244,120, sold in 
246,121, close in 
248,122, begins 
250,123, kills 
252,124, has interrogated 
254,125, no longer welcome in 
256,126, between 
258,127, suspect 
260,128, hit by 
262,129, shooting and killing 
264,130, announced for 
266,131, unilateral decision to allow 
268,132, dies at 
270,133, becomes first hurricane to form in 
272,134, reorganizes 
274,135, Virus outbreak in 
276,136, of China develop 
278,137, of 
280,138, announce 
282,139, armed with 
284,140, identified 
286,141, overrun 
288,142, confirms 
290,143, celebrates 
292,144, buys 
294,145, carrying 
296,146, heads towards 
298,147, in 
300,148, searching for 
302,149, asks for 
304,150, issued for 
306,151, critically ill in 
308,152, warns 
310,153, in 
312,154, appears in 
314,155, against 
316,156, banned from 
318,157, against 
320,158, against 
322,159, under 
324,160, use tear 
326,161, found in 
328,162,  have been 
330,163, in 
332,164, in 
334,165, in 
336,166, in 
338,167, releases 
340,168, complied with 
342,169, deploy 
344,170, detained at 
346,171, finishes with 
348,172, rises to 
350,173, kills atleast thirteen people
352,174, abduct 
354,175, killed by 
356,176, leaves 
358,177, in 
360,178, imposes 
362,179, visit 
364,180, imposed on 
366,181, betting 
368,182, near Kiev
369,183, in 
371,184, in 
373,185, arising from 
375,186, resign afrer 
377,187, at 
379,188,At least five French Foreign Legion soliders killed in avalanche 
381,189, linked to 
383,190, killed 
385,191, banning 
387,192, signed by 
389,193, killed after 
391,194, killed in 
393,195, releases 
395,196, lifts a three year ban on 
397,197, of 
399,198, damaged by 
401,199, left 
403,200, agrees to hear 
405,201, endorses Republican Party presendential candidate Donald Trump
407,202, prime with 
409,203, investigating 
411,204, attack 
413,205, in 
415,206, reveal 
417,207,Kyrgzstans parliament revokes 
419,208, approves 
421,209, was 
423,210, at 
425,211, in 
427,212, shaved 
429,213, in 
431,214, call for 
433,215, appears befor 
435,216, for 
437,217, personally approved 
439,218, convenes in 
441,219, at 
443,220, running 
445,221, brace for 
447,222, and killed 
449,223, resigns as 
451,224, leaves 
453,225, kill 
455,226, predicted to generate 
457,227, living in 
459,228, considering 
461,229, angers 
463,230, reflown in 
465,231, in 
467,232,in
468,232,and
470,233, on 
472,234, elected 
474,235, wins 
476,236, win 
478,237, kill 
480,238, kills 
482,239, shut off 
484,240, killed in 
486,241, rises to 
488,242, dies at 
490,243, in 
492,244, spread in 
494,245, faces 
496,246, ruled in 
498,247, a grand jury cleared 
500,248, arrested during 
502,249, backed by  
504,250, kills 
506,251, go on 
508,252, rises to 
510,253, find 
512,254, find 
514,255, cleared of 
516,256, is under 
518,257, arrest 
520,258, in 
522,259, at 
524,260, defeated in 
526,261,Suicide bomber blow 
528,262,of
530,262,expected to close on
532,263, rises to 
534,264, reported in 
536,265, needed regarding 
538,266, young Iranians currently awaiting 
540,267, elected 
542,268, resigns as 
544,269, reelects 
546,270, powered by 
548,271, governing 
550,272, killed in 
552,273, sinks off 
554,274, tackle 
556,275, visits 
558,276,disallowing about 
559,276,of
561,277, welcomes 
563,278, against 
565,279, in 
567,280, in 
569,281, in 
571,282, launches 
573,283, adopts 
575,284, announces split into 
577,285, gathers 
579,286, knocking out 
581,287, kills 
583,288, alert over 
585,289, in 
587,290, on 
589,291, renamed to 
591,292, called 
594,293,of
595,293,via
597,294, expected to make landfall as 
599,295, dies in 
601,296, sinks between 
603,297, infected with 
605,298, spied on 
607,299, violated 
609,300, missing from 
611,301, escaped from 
613,302, in 
615,303, in 
617,304, first 
619,305, makes 
621,306, on 
623,307, in 
625,308, against 
627,309, on 
629,310, collides with 
631,311, injured in 
633,312, kills 
635,313, deploy two MIM104 Patriot surfaceoair missile Interceptor systems
637,314, defeats 
639,315, killed in 
641,316, in 
643,317, in 
645,318,declares
646,318,of
648,319,of
649,319,still needs
651,320, arrest 
653,321, sentenced to 
655,322, meets with 
657,323, in 
659,324, does not see 
661,325, for 
663,326,of
664,326,declares
665,326,of
667,327, suspending 
669,328, in 
671,329, continue until 
673,330,and
674,330,break
676,331, owned 
678,332, operated 
680,333, alert to shoot down 
682,334, wanted for 
684,335, suspends 
686,336, in 
688,337, in 
690,338, announces 
692,339,of
693,339,declares
695,340, on 
697,341, including  
699,342, of 
701,343, of 
703,344, in 
705,345, in 
707,346, suspected of having   
709,347, lifts 
711,348,and
712,348,capture
713,348,of
715,349, in 
717,350,captured
718,350,of
720,351,between
721,351,and
723,352, of 
725,353, of 
727,354, collapses in 
729,355, erupts prompting 
731,356, die in 
733,357, in 
735,358, in 
737,359,declares
738,359,of
740,360, at 
742,361, removed as 
744,362, in 
746,363, freed 
748,364, backed by 
750,365, in 
752,366, gives 
754,367, toppled 
756,368, killed in 
758,369, in 
760,370, brings 
762,371, trained in 
764,372, closed down 
766,373, on 
768,374, rally against 
770,375, quarterback 
772,376, from 
774,377, in 
776,378, at 
778,379, led by 
780,380, outside 
782,381, outside 
784,382, for 
786,383, Carnival celebrations over 
788,384, consides 
790,385, defeat 
792,386, in 
794,387, accuse 
796,388, fired from 
798,389, strikes 
800,390, rises 
802,391, set to 
804,392, die in 
806,393,declares
807,393,of
809,394, in 
811,395, go up near 
813,396, on banning 
815,397, released 
817,398, breaching 
819,399, retire from 
821,400, in 
823,401, sends  
825,402, recapture 
827,403, continue 
829,404, in 
831,405, buried in 
833,406, struck 
835,407, close down 
837,408, goes into 
839,409, agrees to return 
841,410, dubs as 
843,411, in 
845,412, killed in 
847,413, in 
849,414, in 
851,415, warns against 
852,415,a routine training flight crashes into a house
853,416,a routine training fight crashes into 
854,416,A pregnant Australian woman positive for Zika virus
855,417,A pregnant Austrailian woman positive for 
857,418, in 
859,419, consider to be 
861,420, in 
863,421, executes 
865,422, without 
866,422,New Jersey Governor Chris Christie suspends his compaign
867,423,New Jersey Governer Chris Christie suspends his compaign
869,424, considers 
871,425, announces 
873,426, approves 
875,427, at 
877,428, attack 
879,429, in 
881,430, killed in 
883,431, in 
885,432, rises to 
887,433, temporarily 
889,434, in 
891,435, in 
893,436, withdrawing 
894,436,All four remaining occupiers leave refuge and surrender
895,437,All four remaining leave 
897,438, killed in 
899,439, elected 
900,439,JosAc Ignacio Peralta sworn in Colima
901,440,JosAc Ignacio sworn in 
903,441, elected as 
905,442, reshuffles 
907,443, demanding 
909,444, announces 
911,445, terminate 
913,446, on 
915,447, shot down 
917,448, killed in 
918,448,Evgeny Lebedev owner of British national newspaper
919,449,Evheny Lebedev owner of 
921,450, in 
923,451, fourth highest risk factor for 
925,452, agreed to 
927,453, in 
929,454, plotting 
931,455, in 
933,456, of doctors protest against 
935,457, representing 
937,458, appoints 
938,458,Jim Gilmore suspends his campaign
939,459, suspends his compaign
941,460, confirms 
943,461, killed by 
945,462, linked to 
947,463, in 
949,464, in 
951,465, hits 
953,466, in 
955,467, in Oklahoma
957,468, to sell 
959,469, replacing 
961,470, dies at 
963,471, reached 
965,472, intercept 
967,473, shot 
969,474, wins 
971,475, in 
973,476, continues in 
975,477,  near 
977,478, rises to 
979,479, in 
981,480, clamping down 
983,481, in 
985,482, elected as 
987,483, held in 
989,484, imposes 
991,485, kills 
993,486, shelling from 
995,487, wins 
997,488, killed on 
999,489, in 
1001,490, die after 
1003,491, bans 
1005,492, applies to join 
1007,493, in 
1009,494, admiited guilty in 
1011,495, in 
1013,496, counting 
1015,497, freed by 
1017,498, of 
1019,499, lost 
1021,500, permitted in 
1023,501, charged by 
1025,502, prompting 
1027,503, at 
1029,504, in 
1031,505, in 
1033,506, found alive in 
1035,507, in 
1037,508, increase 
1039,509, cut 
1041,510, escorted by 
1043,511, meets with 
1045,512, calls for 
1047,513, intercept 
1049,514, sues 
1051,515, for 
1053,516, appeal 
1055,517, passes 
1057,518, for 
1059,519, underneath 
1061,520, vying to unseat 
1063,521, pulled off 
1065,522, hits 
1067,523, occurs between 
1069,524, backed by 
1071,525, facing 
1073,526, killed in 
1075,527, addressing  
1077,528, planning 
1079,529, will visit Cuba
1081,530, blocks 
1083,531, drops 
1085,532, seized 
1087,533, carry out 
1089,534, kill 
1091,535, shot dead in 
1093,536, in  following heavy clashes
1095,537, dies at 
1097,538, dies at 
1099,539, created 
1101,540, reappointed 
1103,541, head towards 
1105,542, diagnosed in 
1107,543, selfbalancing 
1109,544, willing to accept 
1111,545, closes 
1113,546, agree on 
1115,547, resign in 
1117,548, hack 
1119,549, refused to comply 
1121,550, raid 
1123,551, twice disrupt 
1125,552, in 
1127,553, rescheduled 
1129,554, in 
1131,555, take 
1133,556, operated 
1135,557, at 
1137,558, activated in 
1139,559, in 
1141,560, shut down 
1143,561, give up 100 migrants
1145,562, in 
1147,563, in 
1149,564, replace 
1151,565, held in 
1153,566, claims 
1155,567,taken
1156,567,of
1158,568, in 
1160,569, hacked to 
1162,570, are dead after 
1164,571, closed 
1166,572,sending
1167,572,to
1169,573, reached with 
1171,574, protest outside 
1173,575, resulted in 
1175,576, popular with 
1177,577, calls for 
1179,578, go for presidential election
1181,579, in 
1184,581, campaigning for 
1186,582, resigns as 
1188,583, scheduled for 
1190,584, reject 
1192,585, kicks off in 
1194,586, wins 
1196,587, fighting 
1198,588, kills 
1200,589, assigns 
1202,590, remains in 
1204,591, to fly 
1206,592, dealing with 
1208,593, buying 
1210,594, broker 
1212,595,charged with
1213,595,of
1215,596, does not apply to 
1217,597, disqualify 
1219,598,obtain
1220,598,of
1222,599, fires 
1224,600, counting 
1226,601, threatened by 
1228,602, cut off 
1230,603, in 
1232,604, restored to 
1234,605, threaten 
1236,606, derails near 
1238,607, at 
1240,608, hits 
1242,609, near 
1244,610, investigating 
1246,611, bans 
1248,612, deploys 
1250,613, close 
1252,614, hold 
1254,615, struck 
1256,616, helping 
1258,617, attack 
1260,618, stormed by 
1262,619, ruled out 
1264,620, held at 
1266,621, in 
1268,622, in 
1270,623, in 
1272,624, hits 
1274,625, runs aground in 
1276,626, join 
1278,627, in 
1280,628, agree on 
1282,629, in 
1284,630, sentenced to 
1286,631, hold 
1288,632, holds 
1290,633, reduced from 
1292,634, of 
1294,635, attack  
1296,636, backed by 
1298,637, of 
1300,638, agrees to buy 
1302,639, accepted 
1304,640, lose 
1306,641, present 
1308,642, adopts 
1310,643, recalls 
1312,644, suspends 
1314,645, against 
1316,646, near 
1318,647, in 
1320,648, kill 
1322,649, storm 
1324,650, killed in 
1326,651, agrees to pay 
1328,652, in 
1330,653, in 
1332,654, not travelling to 
1334,655, killed in 
1336,656, jailed on 
1338,657, near 
1340,658, alerts 
1342,659, for 
1344,660, in 
1346,661, elected 
1348,662, unveils 
1350,663, meet in 
1352,664, on 
1354,665, kills 
1356,666, killed in 
1358,667, in 
1360,668, in 
1362,669, will not gain 
1364,670, participated in 
1366,671, ranging from 
1368,672, killed after 
1370,673, kill 
1372,674, kill 
1374,675, wins 
1376,676, died at 
1378,677, killed during 
1380,678, in 
1382,679, monitor 
1384,680, on 
1386,681, resigns as 
1388,682, in 
1390,683, lay off 
1392,684, evacuated after 
1394,685, use tear 
1396,686, hang 
1398,687, break out inside 
1400,688, in 
1402,689, quits 
1404,690, for 
1406,691, blown up in 
1408,692, captures 
1410,693, driving into 
1412,694, injured in 
1414,695, deployed on 
1416,696, in 
1418,697, comfirmed in 
1420,698, on 
1422,699, send 
1424,700, continues at 
1426,701, deployed up to 
1428,702, sexually abused by 
1430,703,slow progess in fighting 
1432,704, not to override 
1434,705, charged with organizing 
1436,706, in 
1438,707, rejected 
1440,708, aboard 
1442,709, revolutionized 
1444,710, play 
1446,711, on 
1448,712, stabbed 
1450,713, left 
1452,714, on 
1454,715, kills 
1456,716, agrees to pay 
1458,717, could collapse in 
1460,718, strikes 
1462,719, designates 
1464,720, adopts 
1466,721, in 
1468,722, in 
1470,723, hits 
1472,724, killed in 
1474,725, launched 
1476,726, admits for 
1478,727, against 
1480,728, delivers  
1482,729, assassinated in 
1484,730, in 
1486,731, begins for 
1488,732, breaks out in 
1490,733, use 
1492,734, freed by 
1494,735, in 
1496,736, explodes in 
1498,737, injured by 
1500,738,has seized
1501,738,of
1503,739, restored across 
1505,740, missing from 
1507,741, dispatches 
1509,742, agrees to suspend 
1511,743, wants 
1513,744, proposes 
1515,745, of 
1517,746, places 
1519,747, disenting 
1521,748, in 
1523,749, dissolves 
1525,750, suspends 
1527,751, suspends 
1529,752, releases 
1531,753, shoot 
1533,754,  linking 
1535,755, explodes on 
1537,756, impounds 
1539,757, tear 
1541,758, dressed in 
1543,759, expected to lose 
1545,760, retain 
1547,761, for 
1549,762, kills 
1551,763, hit mainly 
1553,764, dies at 
1555,765, killed following 
1557,766, drown in 
1559,767,awarded
1561,768, sentenced to 
1563,769, accuses 
1565,770, in 
1567,771, of 
1569,772, wins 
1571,773,between
1572,773,and
1574,774, hits 
1576,775, kills 
1578,776, persuing 
1580,777, pay 
1582,778,  shuts down 
1584,779, start 
1586,780, calls on 
1588,781, to 
1590,782, allowed to join 
1592,783,Ingleburn Industrail area in 
1594,784, for 
1596,785, found guilty of downloading 
1598,786, awarded  fiftyice million damages
1601,787, will not run for 
1603,788, published in 
1605,789, suspends 
1607,790, retires after 
1609,791, fired from 
1611,792, kill 
1613,793, killed in 
1615,794, is 
1617,795, cautions 
1619,796, placed by 
1621,797, imposes 
1623,798, in 
1625,799,  places 
1627,800, arrest 
1629,801, in 
1631,802, offers 
1633,803, reverses 
1635,804, reschedules 
1637,805, published in 
1639,806, attack 
1641,807, negotiator for 
1643,808, killed after collapses 
1645,809, in 
1647,810, assist 
1649,811, shut off 
1651,812, mounted on 
1653,813, will no longer let 
1656,814, wearing 
1657,815, killed in 
1659,816, participating in 
1661,817, charged with 
1663,818, occurs in 
1665,819, defeats 
1667,820,between
1668,820,and
1670,821, in 
1672,822, in 
1674,823, recalls 
1676,824, fires  
1678,825, found by 
1680,826, in 
1682,827,put forward to become
1683,827,of
1685,828, fails to elect 
1687,829, near 
1689,830, died in 
1691,831, removes 
1693,832, installed 
1695,833, acquires 
1697,834, attend 
1699,835, killed by 
1701,836, improve 
1703,837, on 
1705,838, declares Lebanonbased declares 
1707,839, from 
1709,840, in 
1711,841, uses to break down 
1713,842, announces 
1715,843, on 
1717,844, appoint 
1719,845, containing 
1721,846, killed in 
1723,847, targeting 
1725,848, kill 
1727,849, went down over 
1729,850, on  
1731,851, is in 
1733,852, kills 
1735,853, off 
1737,854, on 
1739,855, in 
1741,856, was talking at 
1743,857, against 
1745,858, sets 
1747,859, takes lead in a fivegame Go match
1749,860, occurs in 
1751,861, declares 
1753,862, shoutes 
1755,863, killing 
1757,864, collapses in 
1759,865, in 
1761,866, killed in 
1763,867, strikes 
1765,868, flying from 
1767,869, bans 
1769,870, deployed in 
1771,871, lost 
1773,872, prevented 
1775,874, detain 
1777,875, in 
1779,876, in 
1781,877, win over 
1783,878, win 
1785,879, for 
1787,880, were transported to 
1789,881, shot and killed by 
1791,882, killed in 
1793,883, fighter 
1795,884, start  of Russian Armed Forces
1797,885, put in 
1799,886, deprives 
1801,887, derails 
1803,888, carrying 
1805,889, attempted to interview 
1807,890, in 
1809,891, acknowledges 
1811,892, rounding out 
1813,893, hunt gunmen linked to 
1815,894, kill 
1817,895, will be canonized on 
1819,896, join 
1821,897, founded in 
1823,898, near 
1825,899, shut down for 
1827,900, damages 
1829,901, breaks out at 
1831,902, for 
1833,903, suspends 
1835,904, operating illegally within 
1837,905, passes 
1839,906, voting to change 
1841,907, release 
1843,908, selects 
1845,909, off 
1847,910, wins 
1849,911, caused by 
1851,912, detonates in 
1853,913, detonate 
1855,914,have detected
1856,914,of
1858,915, studying at 
1860,916, starting with 
1862,917, in 
1864,918, for 
1866,919, in 
1868,920, killed in 
1870,921,choose
1871,921,not
1873,922, nominates 
1875,923,release
1876,923,of
1877,924, release  of 
1880,925, in 
1882,926, has died in 
1884,927, shot dead in 
1886,928, of 
1888,929, is replacing 
1890,930, killed when travelling to 
1892,931, against 
1894,932, in 
1896,933, around 
1898,934, at 
1900,935, concedes 
1902,936, kill 
1904,937, fired 
1906,938, have contributed to 
1908,939, goes on trail
1909,940, alleged 
1911,941, missing after 
1913,942, are investigating 
1915,943, published 
1917,944, bring 
1919,945, travels to 
1921,946, resigns 
1923,947, occurs in 
1925,948, by 
1927,949, killed in 
1929,950, killed in 
1931,951, remain closed until 
1933,952, rescued by 
1935,953, accuses 
1937,954, conducted by 
1939,955, arrested from 
1941,956, faces 
1943,957, had clinched  France
1945,958, responsible for 
1947,959, dedicates 
1949,960, agrees to acquire 
1951,961,strikes off
1952,961,of
1954,962, shortly after 
1956,963, attempted 
1958,964, begins with 
1960,965, in 
1962,966, on 
1964,967, held in 
1966,968, begins in 
1968,969, held in 
1970,970, expected to extend 
1972,971, calls for 
1974,972, in 
1976,973, detonates 
1978,974, attack 
1980,975, have halted 
1982,976, launched 
1984,977, settles 
1986,978, finds 
1988,979, eliminate 
1990,980, will safely pass by 
1992,981, in 
1994,982, near 
1996,983, are investigating 
1998,984, cancels 
2000,985, of 
2002,986, agree to impose 
2004,987, leaves for 
2006,988, killing 
2008,989, postpones hearing at 
2010,990, written by 
2012,991, in 
2014,992,was first diagnosed in
2015,992,of
2017,993, will not resign under 
2019,994, killed in 
2021,995, evacuated from 
2023,996, wins 
2025,997, in 
2027,998, won 
2029,999, begins 
2031,1000, in 
2033,1001, recovered 
2035,1002, sentenced to  in 
2038,1003, against 
2040,1004, acquitted on 
2042,1005, upheld 
2044,1006, to retain 
2046,1007, reelected with  of vote
2048,1008, dies from 
2050,1009, stripped of 
2052,1010, arrested in 
2054,1011, rescued 
2056,1012, announces death
2057,1013, make 
2059,1014, killed in 
2061,1015, killed 
2063,1016, defended 
2065,1017, crashed with 
2067,1018, killed in 
2069,1019, in 
2071,1020, deploy 
2073,1021, in 
2075,1022, for 
2077,1023, performs in 
2079,1024, publishes 
2081,1025, lining up 
2083,1026, in 
